replicate,theta_hat,se_theta,z,z_bias_corrected,wald_reject,critical_reject,bias_corrected_reject
106,0.03542518797368498,0.009745070983129357,-1.495608605781005,-1.4337099989102924,False,False,False
107,0.04185107110609204,0.011386616247184879,-0.7156585167189267,-0.6626834884385939,False,False,False
108,0.045652924377961014,0.011292131752179997,-0.38496501080938644,-0.3315467253208681,False,False,False
109,0.045890457659693636,0.01162260230138307,-0.3535819460859758,-0.3016825261393659,False,False,False
110,0.030944899867677386,0.009450625162237379,-2.016279325992381,-1.9524521920878224,True,False,True
111,0.04458905116804931,0.011150568430392931,-0.48526215194573896,-0.4311656884804537,False,False,False
112,0.043796253220524904,0.011095990284219167,-0.5590980724179375,-0.5047355232212425,False,False,False
113,0.03931076542960279,0.012493854455237513,-0.8555593959169431,-0.8072791538288783,False,False,False
114,0.05170026532786751,0.012101702046523402,0.14049803253551144,0.19034278291797557,False,False,False
115,0.039870730951360185,0.01032553710147005,-0.9809919764074753,-0.9225730959381934,False,False,False
116,0.05509712468243988,0.013841994114513386,0.3682362989228207,0.4118142915676413,False,False,False
117,0.03632141309818106,0.010068842899015521,-1.3585063387130973,-1.298598132401636,False,False,False
118,0.04906344244661753,0.012252077527287322,-0.0764407139357882,-0.027207731499260347,False,False,False
119,0.047046327886167555,0.013016481640118888,-0.22691785656799573,-0.18057612349530922,False,False,False
120,0.059059464611625555,0.013996197886519297,0.6472804032266039,0.690378273276934,False,False,False
121,0.0524126552623502,0.011777611783189411,0.2048509754578481,0.2560673280441077,False,False,False
122,0.04091597868414973,0.011128251780786125,-0.8163026407736937,-0.7620976920005719,False,False,False
123,0.04450007930348637,0.010487948431609747,-0.5244038652914574,-0.4668896315358924,False,False,False
124,0.07999110438087882,0.015254917450978275,1.9659958486996292,2.0055376108658507,False,False,False
125,0.055257971831014725,0.012075064134778853,0.435440488955301,0.4853951981791259,False,False,False
126,0.07994833935020391,0.015763003726799264,1.8999132315935214,1.9381804507204439,False,False,False
127,0.0325565362952078,0.010027660784802148,-1.7395346810324293,-1.6793804406111608,True,False,True
128,0.05335792735079375,0.012791937899490019,0.2625034124757295,0.30965860682169033,False,False,False
